城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","荔湾区","运维工程师","8k-12k","经验1-3年 / 大专","高思贸易","贸易｜进出口 / 不需要融资 / 50-150人","","“弹性工作，团队氛围好，对接国外项目，学习平台”"
"广州","荔湾区","AEM软件开发工程师","10k-20k","经验3-5年 / 本科","凝新","营销服务｜咨询 / 不需要融资 / 15-50人","","""“工作气氛好"
"广州","荔湾区","项目经理（软件开发）","15k-25k","经验5-10年 / 本科","航桥国际 证券代码：871646","贸易｜进出口 / 不需要融资 / 50-150人","","""“周末双休"
"广州","荔湾区","SRE高级技术专家","35k-45k","经验5-10年 / 本科","安利（中国）日用品有限公司","新零售 / 不需要融资 / 500-2000人","","""“五险一金"
"广州","荔湾区","软件系统工程师","5k-8k","经验3-5年 / 本科","广东冠电科技股份有限公司","","","""“员工旅游"
"广州","荔湾区","高级测试开发工程师","14k-22k","经验3-5年 / 大专","Arts Alliance Media（中国）","软件服务｜咨询 / 未融资 / 50-150人","","“高效团队”"
"广州","荔湾区","Android","15k-25k","经验3-5年 / 本科","狮哲文化创意","""教育｜培训","休闲｜娱乐","游戏 / 未融资 / 少于15人"""
"广州","荔湾区","高级软件工程师","25k-30k","经验3-5年 / 本科","深圳市能者物流有限公司","""物流平台","物流｜运输 / 不需要融资 / 50-150人""",""
"广州","荔湾区","java后端开发工程师","15k-25k","经验5-10年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“大平台 晋升空间大 牛人带教”"
"广州","荔湾区","技术专家/经理（物流方向）","18k-25k","经验5-10年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“主板上市公司 平台大 民生行业稳健 发展空间”"
"广州","荔湾区","dba数据库工程师","10k-14k","经验1-3年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“追求卓越”"
"广州","荔湾区","爬虫高级工程师","20k-25k","经验3-5年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“上市公司 大牛带飞”"
"广州","荔湾区","后端专家","25k-30k","经验5-10年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“双休 上市公司”"
"广州","荔湾区","高级爬虫工程师","25k-30k","经验3-5年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“福利好”"
"广州","荔湾区","高级爬虫工程师","18k-28k","经验5-10年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“上市公司 福利齐全 发展空间大 团队氛围好”"
"广州","荔湾区","数据库工程师dba","12k-15k","经验1-3年 / 本科","大参林集团","医疗｜保健｜美容 / 上市公司 / 2000人以上","","“主板上市公司 龙头企业 福利齐全 团队优秀”"
"广州","天河区","JAVA工程师","12k-16k","经验3-5年 / 本科","靓量科技","""广告营销","社交 / A轮 / 50-150人""",""
"广州","天河区","Java开发工程师","15k-25k","经验3-5年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“周末双休 五险一金 环境优美 食堂”"
"广州","天河区","Java开发工程师","10k-15k","经验3-5年 / 本科","臻善科技","","","""“五险一金"
"广州","天河区","Java开发工程师","15k-22k","经验3-5年 / 本科","蜂助手","""物联网","网络通信 / D轮及以上 / 150-500人""",""
"广州","天河区","高级Java开发工程师","18k-30k","经验5-10年 / 本科","蜂助手","""物联网","网络通信 / D轮及以上 / 150-500人""",""
"广州","天河区","高级java开发工程师","12k-20k","经验5-10年 / 本科","广州市绿蕃茄软件科技有限公司","软件服务｜咨询 / 未融资 / 150-500人","","“公司发展前景好，团队年轻”"
"广州","天河区","高级java开发工程师","16k-19k","经验5-10年 / 本科","江融信","科技金融 / B轮 / 500-2000人","","“长期稳定 规模大”"
"广州","天河区","Java开发工程师","12k-18k","经验3-5年 / 本科","讯鸿网络","工具类产品 / B轮 / 50-150人","","“团队大、福利齐全、稳定、发展空间大”"
"广州","天河区","JAVA开发工程师-商户中台方向","15k-25k","经验5-10年 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“国有企业 福利完善”"
"广州","天河区","java开发工程师","14k-18k","经验3-5年 / 本科","讯鸿网络","工具类产品 / B轮 / 50-150人","","“双休”"
"广州","天河区","中高级java开发工程师","11k-20k","经验3-5年 / 本科","京北方","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“双休”"
"广州","天河区","JAVA开发工程师-支付方向（广州）(J10158)","15k-25k","经验1-3年 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“金融科技、国企背景”"
"广州","天河区","Java中高级研发工程师","10k-20k","经验3-5年 / 本科","广东麦视互联网科技有限公司","""游戏","硬件 / 未融资 / 50-150人""",""
"广州","天河区","Java中级工程师","10k-15k","经验3-5年 / 大专","爱洁集团","能源｜矿产｜环保 / 不需要融资 / 500-2000人","","""“五险一金"
"广州","天河区","Java工程师","8k-15k","经验1-3年 / 本科","广东麦视互联网科技有限公司","""游戏","硬件 / 未融资 / 50-150人""",""
"广州","天河区","java开发工程师","15k-20k","经验3-5年 / 本科","蜂助手","""物联网","网络通信 / D轮及以上 / 150-500人""",""
"广州","天河区","Java开发工程师","12k-18k","经验1-3年 / 本科","讯鸿网络","工具类产品 / B轮 / 50-150人","","“周末双休、工作环境轻松”"
"广州","天河区","中级java后端工程师","8k-11k","经验1-3年 / 本科","广东九建","房地产｜建筑｜物业 / 不需要融资 / 150-500人","","""“五险一金"
"广州","天河区","Java开发工程师（双休、福利好）","12k-18k","经验3-5年 / 本科","广州市绿蕃茄软件科技有限公司","软件服务｜咨询 / 未融资 / 150-500人","","“公司发展前景好，团队年轻”"
"广州","天河区","Java高级工程师","15k-30k","经验3-5年 / 本科","卓术信息","IT技术服务｜咨询 / 不需要融资 / 15-50人","","“行业前景 团队背景 公司氛围”"
